Node ID,Name
1,N Wacker / Lake
2,N Wacker / Randolph
3,N Wacker / Washington
4,N Wacker / Madison
5,N Wacker / Monroe
6,N Wacker / Adams
7,N Wacker / Jackson
8,Franklin / W Wacker
9,Franklin / Lake
10,Franklin / Randolph
11,Franklin / Washington
12,Franklin / Madison
13,Franklin / Monroe
14,Franklin / Adams
15,Franklin / Jackson
16,Wells / W Wacker
17,Wells / Lake
18,Wells / Randolph
19,Wells / Washington
20,Wells / Madison
21,Wells / Monroe
22,Wells / Adams
23,Wells / Jackson
24,Lasalle / W Wacker
25,Lasalle / Lake
26,Lasalle / Randolph
27,Lasalle / Washington
28,Lasalle / Madison
29,Lasalle / Monroe
30,Lasalle / Adams
31,Lasalle / Jackson
32,Clark / W Wacker
33,Clark / Lake
34,Clark / Randolph
35,Clark / Washington
36,Clark / Madison
37,Clark / Monroe
38,Clark / Adams
39,Clark / Jackson
40,Dearborn / W Wacker
41,Dearborn / Lake
42,Dearborn / Randolph
43,Dearborn / Washington
44,Dearborn / Madison
45,Dearborn / Monroe
46,Dearborn / Adams
47,Dearborn / Jackson
48,State / W Wacker
49,State / Lake
50,State / Randolph
51,State / Washington
52,State / Madison
53,State / Monroe
54,State / Adams
55,State / Jackson
56,Wabash / W Wacker
57,Wabash / Lake
58,Wabash / Randolph
59,Wabash / Washington
60,Wabash / Madison
61,Wabash / Monroe
62,Wabash / Adams
63,Wabash / Jackson
64,Michigan / W Wacker
65,Michigan / Lake
66,Michigan / Randolph
67,Michigan / Washington
68,Michigan / Madison
69,Michigan / Monroe
70,Michigan / Adams
71,Michigan / Jackson